-2.43034,-2.43034,-2.97865,-2.90921,-2.26735,-1.07552,0.63921,2.84760,5.51858,8.61023,12.06489,15.80476,19.73131,23.73253,27.69000,31.48684,35.01793,38.19531,40.95099,43.24224,45.05756,46.41659,47.36171,47.94401,48.22139,48.25748,48.11754,47.86252,47.54144,47.19028,46.83509,46.49316,46.17406,45.88134,45.61612,45.37690,45.16165,44.96815,44.79477,44.64029,44.50377,44.38425,44.28091,44.19352,44.12186,44.06382,44.01680,43.98346,43.96812,43.96510,43.96695,43.98337,44.03182,44.12532,44.28872,44.55750,44.96430,45.54876,46.34776,47.38862,48.68979,50.25822,52.08678,54.15024,56.40653,58.79883,61.25405,63.68252,66.02595,68.20592,70.04442,71.59058,73.00626,73.59335,73.38180,74.46192,73.81010,67.65869,70.37675,75.40894,41.71730,41.71730,0.00000
-2.43034,-2.43034,-2.97865,-2.90921,-2.26735,-1.07552,0.63921,2.84760,5.51858,8.61023,12.06489,15.80476,19.73131,23.73253,27.69000,31.48684,35.01793,38.19531,40.95099,43.24224,45.05756,46.41659,47.36171,47.94401,48.22139,48.25748,48.11754,47.86252,47.54144,47.19028,46.83509,46.49316,46.17406,45.88134,45.61612,45.37690,45.16165,44.96815,44.79477,44.64029,44.50377,44.38425,44.28091,44.19352,44.12186,44.06382,44.01680,43.98346,43.96812,43.96510,43.96695,43.98337,44.03182,44.12532,44.28872,44.55750,44.96430,45.54876,46.34776,47.38862,48.68979,50.25822,52.08678,54.15024,56.40653,58.79883,61.25405,63.68252,66.02595,68.20592,70.04442,71.59058,73.00626,73.59335,73.38180,74.46192,73.81010,67.65869,70.37675,75.40894,41.71730,41.71730,0.00000
-3.38802,-3.38802,-3.93933,-3.85632,-3.19924,-1.98775,-0.24148,2.02225,4.78526,8.01210,11.64424,15.60125,19.78271,24.07178,28.34158,32.46394,36.31901,39.80153,42.82983,45.35315,47.35713,48.85936,49.89840,50.52572,50.80489,50.81225,50.62277,50.30522,49.91255,49.48386,49.04789,48.62555,48.22697,47.85782,47.51920,47.20998,46.92775,46.67002,46.43504,46.22145,46.02809,45.85385,45.69775,45.55934,45.43813,45.33209,45.23986,45.16537,45.11058,45.06501,45.02513,45.01059,45.03487,45.10316,45.23908,45.49066,45.89410,46.49245,47.32615,48.42442,49.80569,51.47560,53.42428,55.62242,58.02172,60.55949,63.15505,65.70778,68.15138,70.41351,72.29454,73.84823,75.29417,75.85371,75.45285,76.62319,76.17756,69.12673,72.36446,80.83333,42.84944,42.84944,0.00000
-4.58527,-4.58527,-5.15327,-5.06196,-4.39922,-3.18839,-1.43690,0.85961,3.69674,7.04312,10.84161,15.01436,19.46161,24.06198,28.67653,33.15806,37.36214,41.16264,44.46361,47.20818,49.37616,50.98006,52.05719,52.66716,52.89476,52.83233,52.56312,52.16121,51.68414,51.17185,50.65666,50.16019,49.69336,49.26071,48.86214,48.49592,48.15907,47.84909,47.56410,47.30257,47.06303,46.84418,46.64499,46.46489,46.30327,46.15862,46.03076,45.92310,45.83285,45.74733,45.67327,45.63782,45.63163,45.64632,45.72674,45.92793,46.29858,46.88847,47.74002,48.88412,50.34052,52.11565,54.19895,56.55790,59.13761,61.86722,64.65310,67.38046,69.97017,72.34283,74.28000,75.85436,77.32262,77.85049,77.32500,78.57607,78.26498,70.71381,74.62437,85.46629,44.59786,44.59786,0.00000
-6.20068,-6.20068,-6.81123,-6.72727,-6.07253,-4.87295,-3.11700,-0.77683,2.15120,5.63762,9.63616,14.08178,18.87848,23.89372,28.96271,33.90238,38.53555,42.71178,46.32024,49.28940,51.58871,53.22892,54.26697,54.78942,54.90647,54.72720,54.32992,53.80079,53.20697,52.59255,51.99159,51.42356,50.89628,50.41061,49.96168,49.54679,49.16269,48.80645,48.47696,48.17261,47.89166,47.63268,47.39465,47.17702,46.97920,46.80006,46.63969,46.49932,46.37306,46.25093,46.15018,46.08769,46.01623,45.93217,45.91394,46.02620,46.33655,46.89737,47.74748,48.92019,50.44265,52.32883,54.57209,57.13860,59.96562,62.96903,66.03838,69.03809,71.87069,74.43754,76.50648,78.13926,79.63090,80.13728,79.53539,80.85178,80.62951,72.80289,77.29102,89.61575,46.68311,46.68311,0.00000
-8.27808,-8.27808,-8.95467,-8.89795,-8.27070,-7.09781,-5.34272,-2.96165,0.05242,3.68680,7.92566,12.72754,17.98913,23.54799,29.19474,34.70128,39.85458,44.47661,48.42622,51.60694,53.98018,55.58911,56.52664,56.91224,56.86762,56.50344,55.91253,55.21330,54.48418,53.76899,53.09365,52.47025,51.89864,51.37141,50.88091,50.42605,50.00338,49.60751,49.23885,48.89565,48.57670,48.28081,48.00716,47.75513,47.52404,47.31287,47.12100,46.94809,46.78757,46.63353,46.50345,46.39114,46.20948,45.99638,45.85156,45.86804,46.10952,46.61305,47.41626,48.57193,50.13006,52.12056,54.54454,57.36795,60.51847,63.89352,67.35890,70.74897,73.93586,76.80182,79.10317,80.86831,82.40572,82.88085,82.21163,83.56751,83.39001,75.34315,80.27718,93.61501,48.90429,48.90429,0.00000
-10.81334,-10.81334,-11.57722,-11.57303,-11.00721,-9.89285,-8.16766,-5.77883,-2.70441,1.08416,5.62210,10.86995,16.69478,22.89059,29.20086,35.35736,41.10984,46.23117,50.52849,53.87789,56.27585,57.81469,58.62750,58.81441,58.52070,57.89460,57.05863,56.20428,55.39633,54.64365,53.94967,53.31252,52.72303,52.16539,51.63530,51.14528,50.68720,50.25639,49.85471,49.47789,49.12533,48.79645,48.49098,48.20818,47.94714,47.70662,47.48529,47.28147,47.08984,46.90385,46.73116,46.55091,46.26098,45.92495,45.68334,45.61165,45.74236,46.10089,46.76733,47.83927,49.39269,51.47227,54.08866,57.21113,60.75907,64.60787,68.59175,72.50335,76.17021,79.44796,82.07209,84.04868,85.69212,86.16277,85.39523,86.73423,86.53826,78.24811,83.52046,97.63767,51.21619,51.21619,0.00000
-13.78543,-13.78543,-14.66685,-14.75477,-14.29799,-13.28434,-11.63389,-9.28405,-6.17771,-2.22445,2.64088,8.35693,14.74873,21.59729,28.61626,35.49180,41.90497,47.54275,52.15101,55.62796,58.02760,59.49380,60.11251,60.00117,59.36997,58.50210,57.55410,56.68113,55.90437,55.19888,54.54902,53.94161,53.36425,52.80397,52.25724,51.74154,51.24549,50.77593,50.33939,49.93065,49.54832,49.19089,48.85784,48.54813,48.26067,47.99399,47.74606,47.51412,47.29304,47.07539,46.85627,46.61895,46.28832,45.88714,45.56347,45.35719,45.26928,45.39554,45.88087,46.84700,48.36358,50.48939,53.26446,56.68243,60.66657,65.07092,69.68910,74.25613,78.53585,82.34312,85.38078,87.62504,89.42359,89.94978,89.09981,90.33809,90.03771,81.45369,86.97984,101.74568,53.61870,53.61870,0.00000
-17.16929,-17.16929,-18.20842,-18.43846,-18.13407,-17.26428,-15.74410,-13.49448,-10.41747,-6.35991,-1.25207,4.80894,11.68449,19.16352,26.91968,34.55778,41.63934,47.74695,52.61520,56.20270,58.61585,59.95669,60.30960,59.85789,59.08861,58.24250,57.43710,56.71180,56.05826,55.45347,54.88083,54.32842,53.78812,53.25451,52.72511,52.20701,51.69545,51.20071,50.73146,50.28469,49.87016,49.48516,49.12756,48.79397,48.48305,48.19295,47.92109,47.66398,47.41655,47.17180,46.92197,46.65387,46.33809,45.94231,45.53353,45.12892,44.83653,44.81420,45.21285,46.06739,47.45057,49.49063,52.29734,55.91582,60.29269,65.27032,70.59748,75.93349,80.95299,85.40756,88.95019,91.51632,93.49733,94.10004,93.19664,94.33271,93.85131,84.90992,90.61198,105.93147,56.10536,56.10536,0.00000
-20.93077,-20.93077,-22.17210,-22.58594,-22.46884,-21.79757,-20.48978,-18.46037,-15.54759,-11.55366,-6.40535,-0.17572,7.06226,15.11514,23.51331,31.77017,39.35545,45.80999,50.91201,54.65183,57.10110,58.32681,58.54337,58.16893,57.69790,57.20005,56.71016,56.23766,55.77659,55.31763,54.85465,54.38452,53.90627,53.42055,52.92926,52.43673,51.94540,51.45967,50.98558,50.52204,50.08461,49.67566,49.29831,48.94727,48.62068,48.31528,48.02807,47.75570,47.49394,47.23746,46.97946,46.71101,46.41646,46.07538,45.66956,45.24583,44.94943,44.97066,45.27754,45.88868,46.97558,48.80264,51.52341,55.21419,59.85872,65.32034,71.32861,77.46981,83.31008,88.50887,92.64192,95.58548,97.77670,98.45889,97.47450,98.53680,97.90221,88.55826,94.35499,110.14206,58.64690,58.64690,0.00000
